Country_Code	Country_Name	Province_Name	Province_Type	Global_ID	R	G	B
MYS	Malaysia	Labuan	Federal Territory	90	0	0	90
MYS	Malaysia	Kuala Lumpur	Federal Territory	91	0	0	91
MYS	Malaysia	Putrajaya	Federal Territory	92	0	0	92
CHL	Chile	Arica y Parinacota	Region	93	0	0	93
CHL	Chile	Tarapacá	Region	94	0	0	94
CHL	Chile	Antofagasta	Region	95	0	0	95
CHL	Chile	Atacama	Region	96	0	0	96
CHL	Chile	Coquimbo	Region	97	0	0	97
CHL	Chile	Región Metropolitana de Santiago	Region	98	0	0	98
CHL	Chile	Valparaíso	Region	99	0	0	99
CHL	Chile	Maule	Region	100	0	0	100
CHL	Chile	Libertador General Bernardo O'Higgins	Region	101	0	0	101
CHL	Chile	Ñuble	Region	102	0	0	102
CHL	Chile	La Araucanía	Region	103	0	0	103
CHL	Chile	Bío-Bío	Region	104	0	0	104
CHL	Chile	Los Ríos	Region	105	0	0	105
CHL	Chile	Los Lagos	Region	106	0	0	106
CHL	Chile	Aisén del General Carlos Ibáñez del Campo	Region	107	0	0	107
CHL	Chile	Magallanes y Antártica Chilena	Region	108	0	0	108
BOL	Bolivia	La Paz	Department	109	0	0	109
BOL	Bolivia	Oruro	Department	110	0	0	110
BOL	Bolivia	Potosí	Department	111	0	0	111
BOL	Bolivia	Tarija	Department	112	0	0	112
BOL	Bolivia	Santa Cruz	Department	113	0	0	113
BOL	Bolivia	Chuquisaca	Department	114	0	0	114
BOL	Bolivia	Pando	Department	115	0	0	115
BOL	Bolivia	El Beni	Department	116	0	0	116
BOL	Bolivia	Cochabamba	Department	117	0	0	117
PER	Peru	Tacna	Department	118	0	0	118
PER	Peru	Madre de Dios	Department	119	0	0	119
PER	Peru	Loreto	Department	120	0	0	120
PER	Peru	Amazonas	Department	121	0	0	121
PER	Peru	Cajamarca	Department	122	0	0	122
PER	Peru	Tumbes	Department	123	0	0	123
PER	Peru	Piura	Department	124	0	0	124
PER	Peru	Ucayali	Department	125	0	0	125
PER	Peru	Puno	Department	126	0	0	126
PER	Peru	Moquegua	Department	127	0	0	127
PER	Peru	Arequipa	Department	128	0	0	128
PER	Peru	Ica	Department	129	0	0	129
PER	Peru	Lima	Department	130	0	0	130
PER	Peru	Lima Province	Captial District	131	0	0	131
PER	Peru	Callao	Departamento	132	0	0	132
PER	Peru	Áncash	Department	133	0	0	133
PER	Peru	La Libertad	Department	134	0	0	134
PER	Peru	Lambayeque	Department	135	0	0	135
PER	Peru	Cusco	Department	136	0	0	136
PER	Peru	Ayacucho	Department	137	0	0	137
PER	Peru	Apurímac	Department	138	0	0	138
PER	Peru	Huancavelica	Department	139	0	0	139
PER	Peru	San Martín	Department	140	0	0	140
PER	Peru	Huánuco	Department	141	0	0	141
PER	Peru	Pasco	Department	142	0	0	142
PER	Peru	Junín	Department	143	0	0	143
ESB	Dhekelia Sovereign Base Area	Dhekelia	None	144	0	0	144
CYP	Cyprus	Larnaca	District	145	0	0	145
CYP	Cyprus	Famagusta	District	146	0	0	146
CYP	Cyprus	Nicosia	District	147	0	0	147
CYP	Cyprus	Limassol	District	148	0	0	148
CYP	Cyprus	Paphos	District	149	0	0	149
IND	India	Ladakh	Union Territory	150	0	0	150
IND	India	Arunachal Pradesh	State	151	0	0	151
IND	India	Sikkim	State	152	0	0	152
IND	India	West Bengal	State	153	0	0	153
IND	India	Assam	State	154	0	0	154
IND	India	Uttarakhand	State	155	0	0	155
IND	India	Nagaland	State	156	0	0	156
IND	India	Manipur	State	157	0	0	157
IND	India	Mizoram	State	158	0	0	158
IND	India	Tripura	State	159	0	0	159
IND	India	Meghalaya	State	160	0	0	160
IND	India	Punjab	State	161	0	0	161
IND	India	Rajasthan	State	162	0	0	162
IND	India	Gujarat	None	163	0	0	163
IND	India	Himachal Pradesh	Union Territory	164	0	0	164
IND	India	Jammu and Kashmir	Union Territory	165	0	0	165
IND	India	Bihar	State	166	0	0	166
IND	India	Uttar Pradesh	State	167	0	0	167
IND	India	Andhra Pradesh	State	168	0	0	168
IND	India	Odisha	State	169	0	0	169
IND	India	Dadra and Nagar Haveli and Daman and Diu	Union Territory	170	0	0	170
IND	India	Maharashtra	State	171	0	0	171
IND	India	Goa	State	172	0	0	172
IND	India	Karnataka	State	173	0	0	173
IND	India	Kerala	State	174	0	0	174
IND	India	Puducherry	Union Territory	175	0	0	175
IND	India	Tamil Nadu	State	176	0	0	176
IND	India	Lakshadweep	Union Territory	177	0	0	177
IND	India	Andaman and Nicobar	Union Territory	178	0	0	178
IND	India	Jharkhand	State	179	0	0	179
IND	India	Delhi	Union Territory	180	0	0	180
IND	India	Chandigarh	Union Territory	181	0	0	181
IND	India	Madhya Pradesh	State	182	0	0	182
IND	India	Chhattisgarh	State	183	0	0	183
IND	India	Haryana	State	184	0	0	184
IND	India	Telangana	State	185	0	0	185
CHN	China	Xinjiang	Autonomous Region	186	0	0	186
CHN	China	Xizang	Autonomous Region	187	0	0	187
CHN	China	Inner Mongol	Autonomous Region	188	0	0	188
CHN	China	Gansu	Province	189	0	0	189
CHN	China	Yunnan	Province	190	0	0	190
CHN	China	Heilongjiang	Province	191	0	0	191
CHN	China	Jilin	Province	192	0	0	192
CHN	China	Liaoning	Province	193	0	0	193
CHN	China	Guangxi	Autonomous Region	194	0	0	194
CHN	China	Guangdong	Province	195	0	0	195
CHN	China	Hainan	Province	196	0	0	196
CHN	China	Fujian	Province	197	0	0	197
CHN	China	Zhejiang	Province	198	0	0	198
CHN	China	Shanghai	Municipality	199	0	0	199
CHN	China	Jiangsu	Province	200	0	0	200
CHN	China	Shandong	Province	201	0	0	201
CHN	China	Hebei	Province	202	0	0	202
CHN	China	Tianjin	Municipality	203	0	0	203
CHN	China	Paracel Islands	None	204	0	0	204
CHN	China	Beijing	Municipality	205	0	0	205
CHN	China	Sichuan	Province	206	0	0	206
CHN	China	Chongqing	Municipality	207	0	0	207
CHN	China	Guizhou	Province	208	0	0	208
CHN	China	Hunan	Province	209	0	0	209
CHN	China	Ningxia	Autonomous Region	210	0	0	210
CHN	China	Shaanxi	Province	211	0	0	211
CHN	China	Qinghai	Province	212	0	0	212
CHN	China	Shanxi	Province	213	0	0	213
CHN	China	Jiangxi	Province	214	0	0	214
CHN	China	Henan	Province	215	0	0	215
CHN	China	Hubei	Province	216	0	0	216
CHN	China	Anhui	Province	217	0	0	217
ISR	Israel	HaDarom	District	218	0	0	218
ISR	Israel	HaZafon	District	219	0	0	219
ISR	Israel	Haifa	District	220	0	0	220
ISR	Israel	HaMerkaz	District	221	0	0	221
ISR	Israel	Jerusalem	District	222	0	0	222
ISR	Israel	Tel Aviv	District	223	0	0	223
PSX	Gaza Strip	Gaza Strip	None	224	0	0	224
PSX	Gaza Strip	West Bank	None	225	0	0	225
LBN	Lebanon	An Nabatiyah	Province	226	0	0	226
LBN	Lebanon	South Lebanon	Province	227	0	0	227
LBN	Lebanon	Beqaa	Province	228	0	0	228
LBN	Lebanon	North Lebanon	Province	229	0	0	229
LBN	Lebanon	Mount Lebanon	Province	230	0	0	230
LBN	Lebanon	Beirut	Province	231	0	0	231
ETH	Ethiopia	Southern Nations, Nationalities and Peoples	Administrative State	232	0	0	232
ETH	Ethiopia	Somali	Administrative State	233	0	0	233
ETH	Ethiopia	Afar	Administrative State	234	0	0	234
ETH	Ethiopia	Amhara	Administrative State	235	0	0	235
ETH	Ethiopia	Tigray	Administrative State	236	0	0	236
ETH	Ethiopia	Benshangul-Gumaz	Administrative State	237	0	0	237
ETH	Ethiopia	Gambela Peoples	Administrative State	238	0	0	238
ETH	Ethiopia	Oromiya	Administrative State	239	0	0	239
ETH	Ethiopia	Dire Dawa	Administrative State	240	0	0	240
ETH	Ethiopia	Addis Ababa	Administrative State	241	0	0	241
ETH	Ethiopia	Harari People	Administrative State	242	0	0	242
SDS	S. Sudan	Eastern Equatoria	State	243	0	0	243
SDS	S. Sudan	Western Bahr el Ghazal	State	244	0	0	244
SDS	S. Sudan	Western Equatoria	State	245	0	0	245
SDS	S. Sudan	Central Equatoria	State	246	0	0	246
SDS	S. Sudan	Upper Nile	State	247	0	0	247
SDS	S. Sudan	Jonglei	State	248	0	0	248
SDS	S. Sudan	Unity	State	249	0	0	249
SDS	S. Sudan	Northern Bahr el Ghazal	State	250	0	0	250
SDS	S. Sudan	Lakes	State	251	0	0	251
SDS	S. Sudan	Warrap	State	252	0	0	252
SOM	Somalia	Nugaal	Region	253	0	0	253
SOM	Somalia	Mudug	Region	254	0	0	254
SOM	Somalia	Galguduud	Region	255	0	0	255
SOM	Somalia	Hiiraan	Region	256	0	1	0
SOM	Somalia	Bakool	Region	257	0	1	1
SOM	Somalia	Gedo	Region	258	0	1	2
SOM	Somalia	Bari	Region	259	0	1	3
SOM	Somalia	Jubbada Hoose	Region	260	0	1	4
SOM	Somalia	Jubbada Dhexe	Region	261	0	1	5
SOM	Somalia	Shabeellaha Hoose	Region	262	0	1	6
SOM	Somalia	Banaadir	Region	263	0	1	7
SOM	Somalia	Shabeellaha Dhexe	Region	264	0	1	8
SOM	Somalia	Bay	Region	265	0	1	9
KEN	Kenya	Rift Valley	Province	266	0	1	10
KEN	Kenya	Eastern	National Capital Area	267	0	1	11
KEN	Kenya	North-Eastern	Province	268	0	1	12
KEN	Kenya	Coast	Province	269	0	1	13
KEN	Kenya	Nyanza	Province	270	0	1	14
KEN	Kenya	Western	Province	271	0	1	15
KEN	Kenya	Nairobi	National Capital Area	272	0	1	16
KEN	Kenya	Central	Province	273	0	1	17
MWI	Malawi	Chitipa	District	278	0	1	22
MWI	Malawi	Rumphi	District	275	0	1	19
MWI	Malawi	Nkhata Bay	District	276	0	1	20
MWI	Malawi	Likoma	District	277	0	1	21
MWI	Malawi	Mzimba	District	279	0	1	23
MWI	Malawi	Kasungu	District	280	0	1	24
MWI	Malawi	Mchinji	District	281	0	1	25
MWI	Malawi	Nkhotakota	District	282	0	1	26
MWI	Malawi	Salima	District	283	0	1	27
MWI	Malawi	Mangochi	District	284	0	1	28
MWI	Malawi	Machinga	District	285	0	1	29
MWI	Malawi	Dedza	District	286	0	1	30
MWI	Malawi	Lilongwe	District	287	0	1	31
MWI	Malawi	Nsanje	District	288	0	1	32
MWI	Malawi	Chikwawa	District	289	0	1	33
MWI	Malawi	Mwanza	District	290	0	1	34
MWI	Malawi	Neno	District	291	0	1	35
MWI	Malawi	Ntcheu	District	292	0	1	36
MWI	Malawi	Zomba	District	293	0	1	37
MWI	Malawi	Phalombe	District	294	0	1	38
MWI	Malawi	Mulanje	District	295	0	1	39
MWI	Malawi	Thyolo	District	296	0	1	40
MWI	Malawi	Dowa	District	297	0	1	41
MWI	Malawi	Balaka	District	298	0	1	42
MWI	Malawi	Chiradzulu	District	299	0	1	43
MWI	Malawi	Blantyre	District	300	0	1	44
MWI	Malawi	Ntchisi	District	301	0	1	45
TZA	United Republic of Tanzania	Mbeya	Region	302	0	1	46
TZA	United Republic of Tanzania	Njombe	Region	303	0	1	47
TZA	United Republic of Tanzania	Ruvuma	Region	304	0	1	48
TZA	United Republic of Tanzania	Kigoma	Region	305	0	1	49
TZA	United Republic of Tanzania	Katavi	Region	306	0	1	50
TZA	United Republic of Tanzania	Rukwa	Region	307	0	1	51
TZA	United Republic of Tanzania	Kagera	Region	308	0	1	52
TZA	United Republic of Tanzania	Mtwara	Region	309	0	1	53
TZA	United Republic of Tanzania	Mara	Region	310	0	1	54
TZA	United Republic of Tanzania	Arusha	Region	311	0	1	55
TZA	United Republic of Tanzania	Kilimanjaro	Region	312	0	1	56
TZA	United Republic of Tanzania	Tanga	Region	313	0	1	57
TZA	United Republic of Tanzania	Lindi	Region	314	0	1	58
TZA	United Republic of Tanzania	Pwani	Region	315	0	1	59
TZA	United Republic of Tanzania	Dar-Es-Salaam	Region	316	0	1	60
TZA	United Republic of Tanzania	Zanzibar South and Central	Region	317	0	1	61
TZA	United Republic of Tanzania	Kaskazini-Unguja	Region	318	0	1	62
TZA	United Republic of Tanzania	Zanzibar West	Region	319	0	1	63
TZA	United Republic of Tanzania	Kusini-Pemba	Region	320	0	1	64
TZA	United Republic of Tanzania	Kaskazini-Pemba	Region	321	0	1	65
TZA	United Republic of Tanzania	Morogoro	Region	322	0	1	66
TZA	United Republic of Tanzania	Dodoma	Region	323	0	1	67
TZA	United Republic of Tanzania	Manyara	Region	324	0	1	68
TZA	United Republic of Tanzania	Singida	Region	325	0	1	69
TZA	United Republic of Tanzania	Tabora	Region	326	0	1	70
TZA	United Republic of Tanzania	Iringa	Region	327	0	1	71
TZA	United Republic of Tanzania	Mwanza	Region	328	0	1	72
TZA	United Republic of Tanzania	Simiyu	Region	329	0	1	73
TZA	United Republic of Tanzania	Geita	Region	330	0	1	74
TZA	United Republic of Tanzania	Shinyanga	Region	331	0	1	75
SYR	Syria	UNDOF	None	332	0	1	76
SYR	Syria	Homs (Hims)	Province	333	0	1	77
SYR	Syria	Tartus	Province	334	0	1	78
SYR	Syria	Rif Dimashq	Province	335	0	1	79
SYR	Syria	Hasaka (Al Haksa)	Province	336	0	1	80
SYR	Syria	Ar Raqqah	Province	337	0	1	81
SYR	Syria	Aleppo	Province	338	0	1	82
SYR	Syria	Idlib	Province	339	0	1	83
SYR	Syria	Lattakia	Province	340	0	1	84
SYR	Syria	As Suwayda'	Province	341	0	1	85
SYR	Syria	Dar`a	Province	342	0	1	86
SYR	Syria	Dayr Az Zawr	Province	343	0	1	87
SYR	Syria	Quneitra	Province	344	0	1	88
SYR	Syria	Hamah	Province	345	0	1	89
SYR	Syria	Damascus	Province	346	0	1	90
SOL	Somaliland	Somaliland	None	347	0	1	91
FRA	France	Guyane française	Overseas department	348	0	1	92
FRA	France	Nord	Metropolitan department	349	0	1	93
FRA	France	Ardennes	Metropolitan department	350	0	1	94
FRA	France	Aisne	Metropolitan department	351	0	1	95
FRA	France	Meuse	Metropolitan department	352	0	1	96
FRA	France	Meurthe-et-Moselle	Metropolitan department	353	0	1	97
FRA	France	Moselle	Metropolitan department	354	0	1	98
FRA	France	Alpes-Maritimes	Metropolitan department	355	0	1	99
FRA	France	Alpes-de-Haute-Provence	Metropolitan department	356	0	1	100
FRA	France	Hautes-Alpes	Metropolitan department	357	0	1	101
FRA	France	Savoie	Metropolitan department	358	0	1	102
FRA	France	Haute-Savoie	Metropolitan department	359	0	1	103
FRA	France	Pyrénées-Atlantiques	Metropolitan department	360	0	1	104
FRA	France	Haute-Garonne	Metropolitan department	361	0	1	105
FRA	France	Hautes-Pyrénées	Metropolitan department	362	0	1	106
FRA	France	Ariège	Metropolitan department	363	0	1	107
FRA	France	Pyrénées-Orientales	Metropolitan department	364	0	1	108
FRA	France	Bas-Rhin	Metropolitan department	365	0	1	109
FRA	France	Haute-Rhin	Metropolitan department	366	0	1	110
FRA	France	Territoire de Belfort	Metropolitan department	367	0	1	111
FRA	France	Doubs	Metropolitan department	368	0	1	112
FRA	France	Ain	Metropolitan department	369	0	1	113
FRA	France	Jura	Metropolitan department	370	0	1	114
FRA	France	Var	Metropolitan department	371	0	1	115
FRA	France	Bouches-du-Rhône	Metropolitan department	372	0	1	116
FRA	France	Gard	Metropolitan department	373	0	1	117
FRA	France	Hérault	Metropolitan department	374	0	1	118
FRA	France	Aude	Metropolitan department	375	0	1	119
FRA	France	Landes	Metropolitan department	376	0	1	120
FRA	France	Gironde	Metropolitan department	377	0	1	121
FRA	France	Charente-Maritime	Metropolitan department	378	0	1	122
FRA	France	Vendée	Metropolitan department	379	0	1	123
FRA	France	Loire-Atlantique	Metropolitan department	380	0	1	124
FRA	France	Morbihan	Metropolitan department	381	0	1	125
FRA	France	Finistère	Metropolitan department	382	0	1	126
FRA	France	Côtes-d'Armor	Metropolitan department	383	0	1	127
FRA	France	Ille-et-Vilaine	Metropolitan department	384	0	1	128
FRA	France	Manche	Metropolitan department	385	0	1	129
FRA	France	Calvados	Metropolitan department	386	0	1	130
FRA	France	Eure	Metropolitan department	387	0	1	131
FRA	France	Seine-Maritime	Metropolitan department	388	0	1	132
FRA	France	Somme	Metropolitan department	389	0	1	133
FRA	France	Pas-de-Calais	Metropolitan department	390	0	1	134
FRA	France	Martinique	Overseas department	391	0	1	135
FRA	France	Guadeloupe	Overseas department	392	0	1	136
FRA	France	La Réunion	Overseas department	393	0	1	137
FRA	France	Mayotte	Overseas department	394	0	1	138
FRA	France	Haute-Corse	Metropolitan department	395	0	1	139
FRA	France	Corse-du-Sud	Metropolitan department	396	0	1	140
FRA	France	Gers	Metropolitan department	397	0	1	141
FRA	France	Haute-Vienne	Metropolitan department	398	0	1	142
FRA	France	Corrèze	Metropolitan department	399	0	1	143
FRA	France	Tarn-et-Garonne	Metropolitan department	400	0	1	144
FRA	France	Tarn	Metropolitan department	401	0	1	145
FRA	France	Isère	Metropolitan department	402	0	1	146
FRA	France	Drôme	Metropolitan department	403	0	1	147
FRA	France	Aveyron	Metropolitan department	404	0	1	148
FRA	France	Lot	Metropolitan department	405	0	1	149
FRA	France	Indre-et-Loire	Metropolitan department	406	0	1	150
FRA	France	Indre	Metropolitan department	407	0	1	151
FRA	France	Loir-et-Cher	Metropolitan department	408	0	1	152
FRA	France	Creuse	Metropolitan department	409	0	1	153
FRA	France	Mayenne	Metropolitan department	410	0	1	154
FRA	France	Sarthe	Metropolitan department	411	0	1	155
FRA	France	Vaucluse	Metropolitan department	412	0	1	156
FRA	France	Haute-Marne	Metropolitan department	413	0	1	157
FRA	France	Marne	Metropolitan department	414	0	1	158
FRA	France	Dordogne	Metropolitan department	415	0	1	159
FRA	France	Rhône	Metropolitan department	416	0	1	160
FRA	France	Vosges	Metropolitan department	417	0	1	161
FRA	France	Ardèche	Metropolitan department	418	0	1	162
FRA	France	Loire	Metropolitan department	419	0	1	163
FRA	France	Puy-de-Dôme	Metropolitan department	420	0	1	164
FRA	France	Allier	Metropolitan department	421	0	1	165
FRA	France	Loiret	Metropolitan department	422	0	1	166
FRA	France	Maine-et-Loire	Metropolitan department	423	0	1	167
FRA	France	Aube	Metropolitan department	424	0	1	168
FRA	France	Paris	Metropolitan department	425	0	1	169
FRA	France	Hauts-de-Seine	Metropolitan department	426	0	1	170
FRA	France	Seine-Saint-Denis	Metropolitan department	427	0	1	171
FRA	France	Val-d'Oise	Metropolitan department	428	0	1	172
FRA	France	Yvelines	Metropolitan department	429	0	1	173
FRA	France	Charente	Metropolitan department	430	0	1	174
FRA	France	Cher	Metropolitan department	431	0	1	175
FRA	France	Eure-et-Loir	Metropolitan department	432	0	1	176
FRA	France	Haute-Loire	Metropolitan department	433	0	1	177
FRA	France	Cantal	Metropolitan department	434	0	1	178
FRA	France	Lot-et-Garonne	Metropolitan department	435	0	1	179
FRA	France	Lozère	Metropolitan department	436	0	1	180
FRA	France	Nièvre	Metropolitan department	437	0	1	181
FRA	France	Côte-d'Or	Metropolitan department	438	0	1	182
FRA	France	Oise	Metropolitan department	439	0	1	183
FRA	France	Orne	Metropolitan department	440	0	1	184
FRA	France	Haute-Saône	Metropolitan department	441	0	1	185
FRA	France	Saône-et-Loire	Metropolitan department	442	0	1	186
FRA	France	Deux-Sèvres	Metropolitan department	443	0	1	187
FRA	France	Vienne	Metropolitan department	444	0	1	188
FRA	France	Yonne	Metropolitan department	445	0	1	189
FRA	France	Essonne	Metropolitan department	446	0	1	190
FRA	France	Seien-et-Marne	Metropolitan department	447	0	1	191
FRA	France	Val-de-Marne	Metropolitan department	448	0	1	192
SUR	Suriname	Sipaliwini	District	449	0	1	193
SUR	Suriname	Nickerie	District	450	0	1	194
SUR	Suriname	Marowijne	District	451	0	1	195
SUR	Suriname	Coronie	District	452	0	1	196
SUR	Suriname	Saramacca	District	453	0	1	197
SUR	Suriname	Wanica	District	454	0	1	198
SUR	Suriname	Paramaribo	District	455	0	1	199
SUR	Suriname	Commewijne	District	456	0	1	200
SUR	Suriname	Para	District	457	0	1	201
SUR	Suriname	Brokopondo	District	458	0	1	202
GUY	Guyana	Mahaica-Berbice	Region	459	0	1	203
GUY	Guyana	Pomeroon-Supenaam	Region	460	0	1	204
GUY	Guyana	Potaro-Siparuni	Region	461	0	1	205
GUY	Guyana	Upper Demerara-Berbice	Region	462	0	1	206
GUY	Guyana	Barima-Waini	Region	463	0	1	207
GUY	Guyana	Demerara-Mahaica	Region	464	0	1	208
GUY	Guyana	Cuyuni-Mazaruni	Region	465	0	1	209
GUY	Guyana	Upper Takutu-Upper Essequibo	Region	466	0	1	210
GUY	Guyana	East Berbice-Corentyne	Region	467	0	1	211
GUY	Guyana	Essequibo Islands-West Demerara	Region	468	0	1	212
KOR	South Korea	Gangwon	Province	469	0	1	213
KOR	South Korea	Gyeonggi	Province	470	0	1	214
KOR	South Korea	South Chungcheong	Province	471	0	1	215
KOR	South Korea	Incheon	Metropolitan City	472	0	1	216
KOR	South Korea	North Jeolla	Province	473	0	1	217
KOR	South Korea	South Jeolla	Metropolitan City	474	0	1	218
KOR	South Korea	South Gyeongsang	Province	475	0	1	219
KOR	South Korea	Busan	Metropolitan City	476	0	1	220
KOR	South Korea	Ulsan	Metropolitan City	477	0	1	221
KOR	South Korea	North Gyeongsang	Metropolitan City	478	0	1	222
KOR	South Korea	Jeju	Province	479	0	1	223
KOR	South Korea	Seoul	Capital Metropolitan City	480	0	1	224
KOR	South Korea	Daejeon	Metropolitan City	481	0	1	225
KOR	South Korea	Sejong	Special self-governing city	482	0	1	226
KOR	South Korea	North Chungcheong	Province	483	0	1	227
KOR	South Korea	Gwangju	Metropolitan City	484	0	1	228
KOR	South Korea	Daegu	Metropolitan City	485	0	1	229
PRK	North Korea	Kangwŏn-do	Province	486	0	1	230
PRK	North Korea	Hwanghae-bukto	Province	487	0	1	231
PRK	North Korea	Hamgyŏng-bukto	Province	488	0	1	232
PRK	North Korea	Rasŏn	Province	489	0	1	233
PRK	North Korea	Ryanggang	Province	490	0	1	234
PRK	North Korea	Chagang-do	Province	491	0	1	235
PRK	North Korea	P'yŏngan-bukto	Province	492	0	1	236
PRK	North Korea	P'yŏngan-namdo	Province	493	0	1	237
PRK	North Korea	Hwanghae-namdo	Province	494	0	1	238
PRK	North Korea	Hamgyŏng-namdo	Province	495	0	1	239
PRK	North Korea	P'yŏngyang	Special City	496	0	1	240
MAR	Morocco	Guelmim - Es-Semara	Region	497	0	1	241
MAR	Morocco	Laâyoune - Boujdour - Sakia El Hamra	Region	498	0	1	242
MAR	Morocco	Oued el Dahab	Region	499	0	1	243
MAR	Morocco	Tanger - Tétouan	Region	500	0	1	244
MAR	Morocco	Oriental	Region	501	0	1	245
MAR	Morocco	Meknès - Tafilalet	Region	502	0	1	246
MAR	Morocco	Souss - Massa - Draâ	Region	503	0	1	247
MAR	Morocco	Taza - Al Hoceima - Taounate	Region	504	0	1	248
MAR	Morocco	Gharb - Chrarda - Béni Hssen	Region	505	0	1	249
